HGNC ID	RefSeq IDs	NCBI Gene ID
HGNC:8662		56117
HGNC:25861		
HGNC:20135		
HGNC:2828		
HGNC:28293		
HGNC:24807		
HGNC:3090		
HGNC:3605		
HGNC:24747		
HGNC:24806		
HGNC:37072		
HGNC:26030		
HGNC:33240		
HGNC:11488		
HGNC:33244		
HGNC:6310		
HGNC:10957		
HGNC:15499		
HGNC:8337		
HGNC:13		
HGNC:27253		
HGNC:1741		
HGNC:28546		
HGNC:5844		
HGNC:21567		
HGNC:2165		
HGNC:14		
HGNC:2166		
HGNC:5029		
HGNC:1761		
HGNC:10828		
HGNC:20124		
HGNC:44118	NR_038452	100505681
HGNC:2168		
HGNC:7338		
HGNC:43758	NR_103838	100505692
HGNC:7647		
HGNC:26492		
HGNC:2305		
HGNC:26500		
HGNC:10553		
HGNC:27144		
HGNC:2306		
HGNC:2307		
HGNC:7520		
HGNC:11890		
HGNC:312		
HGNC:9034		
HGNC:6101		
HGNC:3104		
HGNC:11484		
HGNC:11485		
HGNC:2655		
HGNC:50346	NR_110400	101928469
HGNC:2656		
HGNC:31667		
HGNC:6963		
HGNC:11525		
HGNC:31654		
HGNC:10508		
HGNC:14591		
HGNC:26377		
HGNC:17571		
HGNC:13378		58475
HGNC:4256		
HGNC:28549		
HGNC:24242		
HGNC:20114		
HGNC:8628		
HGNC:25290		
HGNC:8865		
HGNC:3753		
HGNC:28411		
HGNC:14381		94144
HGNC:27311		
HGNC:15542		
HGNC:628		
HGNC:24813		
HGNC:24799		
HGNC:14390		94153
HGNC:15704		
HGNC:14384		94148
HGNC:13268		
HGNC:16957		
HGNC:629		
HGNC:1009		
HGNC:1657		
HGNC:17120		
HGNC:1658		
HGNC:3813		
HGNC:7826		
HGNC:6035		
HGNC:5711		
HGNC:10558		
HGNC:6082		
HGNC:4239		
HGNC:9708		
HGNC:3055		
HGNC:1013		
HGNC:9648		
HGNC:53446	NR_103775	100505984
HGNC:776		
HGNC:1518		
HGNC:44174	NR_040037	100506033
HGNC:8106		
HGNC:3838		
HGNC:7630		
HGNC:8147		
HGNC:7320		
HGNC:48591	NR_103445	100506070
HGNC:7019		
HGNC:11794		
HGNC:4614		
HGNC:4615		
HGNC:3842		
HGNC:11902		
HGNC:11903		
HGNC:5968		
HGNC:9274		
HGNC:267		
HGNC:11452		
HGNC:9133		
HGNC:334		
HGNC:2944		
HGNC:1679		
HGNC:12972		
HGNC:11434		
HGNC:13756		60359
HGNC:12747		
HGNC:4300		
HGNC:3846		
HGNC:9499		
HGNC:11318		
HGNC:10950		
HGNC:3456		
HGNC:2058		
HGNC:16295		
HGNC:16296		
HGNC:4062		
HGNC:4063		
HGNC:6659		
HGNC:34885		100189318
HGNC:5668		
HGNC:4211		
HGNC:19111		
HGNC:3847		
HGNC:97		
HGNC:8796		
HGNC:9696		
HGNC:9697		
HGNC:9694		
HGNC:9695		
HGNC:5357		
HGNC:17225		25784
HGNC:5862		
HGNC:818		
HGNC:2245		
HGNC:1680		
HGNC:4364		
HGNC:7351		
HGNC:12432		
HGNC:7409		
HGNC:12433		
HGNC:7416		
HGNC:7438		
HGNC:7439		
HGNC:7465		
HGNC:7466		
HGNC:7472		
HGNC:1021		
HGNC:6170		
HGNC:1035		
HGNC:1111		
HGNC:2415		
HGNC:3269		
HGNC:3462		2090
HGNC:8513		
HGNC:4694		2988
HGNC:4120		
HGNC:9488		
HGNC:6084		
HGNC:11130		
HGNC:6073		
HGNC:1576		
HGNC:6682		
HGNC:12742		
HGNC:12526		
HGNC:2925		
HGNC:21120		
HGNC:900		
HGNC:3139		
HGNC:5083		
HGNC:11481		
HGNC:2635		
HGNC:2844		
HGNC:5055		
HGNC:3545		2156
HGNC:4813		
HGNC:3709		
HGNC:3966		
HGNC:4282		
HGNC:6749		
HGNC:2636		
HGNC:4865		
HGNC:6966		
HGNC:7334		
HGNC:6417		
HGNC:3441		
HGNC:3849		
HGNC:7022		
HGNC:7528		
HGNC:11154		
HGNC:5058		
HGNC:5059		
HGNC:5060		
HGNC:5061		
HGNC:5062		
HGNC:5063		
HGNC:5064		
HGNC:5065		
HGNC:3458		
HGNC:12374		7254
HGNC:12375		7255
HGNC:12809		7502
HGNC:12728		
HGNC:5069		
HGNC:5110		
HGNC:5070		
HGNC:5071		
HGNC:5072		
HGNC:5073		
HGNC:5074		
HGNC:5075		
HGNC:19724		
HGNC:5077		
HGNC:5079		
HGNC:10748		
HGNC:3835		
HGNC:5080		
HGNC:5081		
HGNC:715		
HGNC:821		
HGNC:822		
HGNC:6625		
HGNC:6626		
HGNC:2629		
HGNC:345		
HGNC:4356		
HGNC:6900		
HGNC:9925		
HGNC:5947		
HGNC:3412		
HGNC:6599		
HGNC:8797		
HGNC:10677		
HGNC:9754		
HGNC:7418		
HGNC:3268		
HGNC:6627		
HGNC:3853		
HGNC:34559		100189002
HGNC:9147		
HGNC:7269		
HGNC:51565		
HGNC:47478		
HGNC:47367		
HGNC:9152		
HGNC:47531		
HGNC:3294		
HGNC:3445		
HGNC:5303		
HGNC:12890		
HGNC:131		
HGNC:12891		
HGNC:7832		
HGNC:7039		
HGNC:3854		
HGNC:5095		
HGNC:2391		
HGNC:3237		
HGNC:2392		
HGNC:3124		
HGNC:3134		
HGNC:3135		
HGNC:3140		
HGNC:7743		
HGNC:53447	NR_038841	100506746
HGNC:7412		
HGNC:9927		
HGNC:3794		
HGNC:8374		26658
HGNC:8172		26539
HGNC:8173		26538
HGNC:8174		26532
HGNC:1731		
HGNC:7222		
HGNC:8207		126370
HGNC:8679		56116
HGNC:7204		
HGNC:4541		
HGNC:13384		57876
HGNC:13505		57343
HGNC:702		
HGNC:13399		390874
HGNC:12696		7435
HGNC:781		
HGNC:3504		
HGNC:12905		
HGNC:1684		
HGNC:4372		
HGNC:14896		57731
HGNC:7753		
HGNC:17974		
HGNC:5149		
HGNC:9396		
HGNC:12847		
HGNC:14285		245802
HGNC:617		
HGNC:14742		390429
HGNC:8695		
HGNC:3022		
HGNC:49416		101927601
HGNC:18751		79890
HGNC:5207		
HGNC:7628		
HGNC:261		
HGNC:43248	NG_033493	100873610
HGNC:14528		
HGNC:15426		441669
HGNC:5151		
HGNC:12581		
HGNC:9		
HGNC:260		
HGNC:17967		51135
HGNC:7244		
HGNC:3617		
HGNC:19114		266665
HGNC:19115		266666
HGNC:8817		
HGNC:9926		
HGNC:19664		94235
HGNC:3141		
HGNC:1988		
HGNC:2056		
HGNC:4094		
HGNC:6747		
HGNC:4899		
HGNC:5236		
HGNC:7731		
HGNC:1997		
HGNC:398		
HGNC:10423		
HGNC:872		
HGNC:1086		
HGNC:4366		
HGNC:6314		
HGNC:4644		
HGNC:6753		
HGNC:5129		3224
HGNC:9687		
HGNC:3692		
HGNC:12817		
HGNC:2982		
HGNC:7140		
HGNC:11415		
HGNC:6523		
HGNC:7674		
HGNC:7519		100129528
HGNC:1454		
HGNC:13117		
HGNC:54399		101928316
HGNC:5339		
HGNC:606		
HGNC:7084		
HGNC:7235		
HGNC:7796		
HGNC:650		
HGNC:4895		
HGNC:4246		
HGNC:11116		
HGNC:11385		
HGNC:2886		
HGNC:1091		
HGNC:4346		
HGNC:11561		
HGNC:4294		
HGNC:4347		
HGNC:2619		
HGNC:6635		
HGNC:10287		
HGNC:13157		
HGNC:10873		
HGNC:5388		
HGNC:6495		
HGNC:6507		
HGNC:44126	NR_037868	100507178
HGNC:2679		
HGNC:3593		
HGNC:2998		
HGNC:2999		
HGNC:3000		
HGNC:3001		
HGNC:7814		
HGNC:7815		
HGNC:11232		
HGNC:5050		
HGNC:2657		
HGNC:7195		
HGNC:12979		
HGNC:1524		
HGNC:7262		
HGNC:4863		
HGNC:4864		
HGNC:16625		
HGNC:34219		
HGNC:21692		
HGNC:31366		
HGNC:3079	NM_012146	26584
HGNC:4896		
HGNC:9371		
HGNC:14299	NM_030760	53637
HGNC:44127	NR_040017	100507218
HGNC:11165		
HGNC:44270	NR_039974	100507240
HGNC:1433		
HGNC:3081	NM_012148	26582
HGNC:3083	NM_012149	26581
HGNC:1019		
HGNC:9054		
HGNC:4859		
HGNC:4106	NM_012196	100101629
HGNC:7018		
HGNC:7041		
HGNC:8352	NM_001004740	390168
HGNC:3369		
HGNC:8356	NM_001005190	390892
HGNC:3452		
HGNC:11972	NM_001080430	27324
HGNC:7844		
HGNC:7845		
HGNC:7846		
HGNC:7847		
HGNC:10403		
HGNC:15728	NM_182481	85318
HGNC:5304		
HGNC:4493		2860
HGNC:2100		
HGNC:8552		
HGNC:3248		
HGNC:9615		
HGNC:10270		
HGNC:8363	NM_030901	26333
HGNC:1525		856
HGNC:6275	NM_022054	56659
HGNC:9616		
HGNC:13631	NM_015414	25873
HGNC:732		
HGNC:12445		
HGNC:8990		
HGNC:8734	NM_024844	79902
HGNC:12448		
HGNC:8991		
HGNC:9572		
HGNC:11516		
HGNC:12746		7459
HGNC:15717	NM_015721	50628
HGNC:12365		
HGNC:4334		
HGNC:11461		
HGNC:7272		
HGNC:5278		
HGNC:3487		
HGNC:11462		
HGNC:6960	NM_006337	10445
HGNC:44129	NR_038403	100507423
HGNC:11463		
HGNC:11464		
HGNC:1191	NM_014335	23741
HGNC:2782		
HGNC:8627		
HGNC:14177	NM_032304	84264
HGNC:14928	NM_025241	80700
HGNC:3598		
HGNC:2815		
HGNC:11643		
HGNC:11958	NM_015409	57634
HGNC:14053	NM_022061	63875
HGNC:54063	NR_110283	101927865
HGNC:4898		
HGNC:7148		
HGNC:7942		
HGNC:9242		
HGNC:1567		
HGNC:14488	NM_023937	64981
HGNC:6520		
HGNC:7848		
HGNC:14499	NM_015971	51081
HGNC:7072		
HGNC:8970		
HGNC:7831		
HGNC:7757		
HGNC:44131	NR_038986	100507470
HGNC:9292		
HGNC:8099		
HGNC:12923		
HGNC:9643		
HGNC:2250		
HGNC:1931		
HGNC:2031		
HGNC:11258		
HGNC:6165		
HGNC:14148	NM_001005920	339123
HGNC:14158	NM_024600	79652
HGNC:14156		
HGNC:5338		
HGNC:2872		
HGNC:3132		
HGNC:107		
HGNC:12653		
HGNC:12699		
HGNC:12700		
HGNC:2706		
HGNC:10052		
HGNC:10054		
HGNC:5328		
HGNC:624		
HGNC:893		
HGNC:9914		5942
HGNC:2791		
HGNC:15732	NM_182484	85316
HGNC:1456		
HGNC:7950		
HGNC:2517		
HGNC:10		
HGNC:6489		
HGNC:6498		
HGNC:867		
HGNC:2178		
HGNC:13911	NM_001040283	63946
HGNC:18235	NM_017957	55040
HGNC:13018		7768
HGNC:44184	NR_038913	100507589
HGNC:10654		
HGNC:35185		
HGNC:6191		
HGNC:4578		
HGNC:9497		
HGNC:4649		
HGNC:10814		
HGNC:907		
HGNC:12571		
HGNC:15078	NM_001001674	390649
HGNC:14745	NM_001005483	79317
HGNC:5657		28389
HGNC:15215	NM_001005167	390078
HGNC:15220	NM_001005169	390037
HGNC:3422		
HGNC:38112		
HGNC:394		
HGNC:15290	NM_001004741	390167
HGNC:15291	NM_001005245	219487
HGNC:7570		
HGNC:14724	NM_001005212	219956
HGNC:8115		
HGNC:8545		
HGNC:10501		
HGNC:18505	NM_017763	54894
HGNC:40982	NR_037642	100527964
HGNC:10502		
HGNC:10503		
HGNC:18024	NM_001007122	123722
HGNC:18408		
HGNC:3384		
HGNC:41528	NR_039671	100616109
HGNC:13507	NM_020933	57693
HGNC:2118		
HGNC:41532	NR_039603	100616110
HGNC:4569		
HGNC:7430		
HGNC:18669	NM_022474	64398
HGNC:14956	NM_145650	143662
HGNC:16396	NM_020841	114882
HGNC:39154		
HGNC:41536	NR_039660	100616111
HGNC:41538	NR_039956	100616112
HGNC:5170		
HGNC:965		
HGNC:14209	NM_024620	79673
HGNC:41541	NR_039828	100616113
HGNC:6403		
HGNC:15570	NM_145658	246777
HGNC:41545	NR_039814	100616114
HGNC:15487	NM_030755	81542
HGNC:15730	NM_181704	85317
HGNC:15676	NM_032627	170463
HGNC:1872		
HGNC:15981	NM_145288	162979
HGNC:6208		
HGNC:8581		
HGNC:9231		
HGNC:4971		
HGNC:41556	NR_039679	100616115
HGNC:4973		
HGNC:7951		
HGNC:2929		
HGNC:41560	NR_039791	100616116
HGNC:12451		
HGNC:9421		
HGNC:1652		
HGNC:41562	NR_039797	100616117
HGNC:2134		
HGNC:18654	NM_173630	25914
HGNC:8501		
HGNC:7509		
HGNC:4674		
HGNC:41566	NR_039706	100616118
HGNC:44915	NR_108067	101929052
HGNC:4310		
HGNC:41573	NR_039844	100616120
HGNC:10556		
HGNC:41581	NR_039607	100616121
HGNC:12819		
HGNC:10844		
HGNC:3348		
HGNC:1654		
HGNC:18958	NM_170604	115727
HGNC:18884	NM_018319	55775
HGNC:6496		
HGNC:6497		
HGNC:13049		10172
HGNC:18875	NM_176884	259289
HGNC:18876	NM_176886	259291
HGNC:18877	NM_176887	259292
HGNC:10636		
HGNC:2140		
HGNC:7829		
HGNC:305		
HGNC:5054		
HGNC:19112	NM_001097643	259293
HGNC:19113	NM_176885	259290
HGNC:41583	NR_039749	100616122
HGNC:6312		
HGNC:709		
HGNC:41587	NR_039941	100616123
HGNC:53631	NR_148222	101929072
HGNC:7008		
HGNC:41594	NR_039790	100616124
HGNC:19369	NM_201515	51535
HGNC:12686		
HGNC:12438		
HGNC:19417	NM_001033719	342908
HGNC:9321		
HGNC:10309		
HGNC:5477	NG_001019	3492
HGNC:522		
HGNC:8737		
HGNC:41597	NR_039884	100616125
HGNC:6578		
HGNC:5873		
HGNC:41601	NR_039834	100616126
HGNC:2965		
HGNC:11361		
HGNC:6604		11026
HGNC:5791		
HGNC:2826		
HGNC:9689	NM_000317	5805
HGNC:43455	NR_049839	100847035
HGNC:4457		
HGNC:2835		
HGNC:41612	NR_039826	100616128
HGNC:10598		
HGNC:41614	NR_039647	100616129
HGNC:8626		
HGNC:41618	NR_039752	100616130
HGNC:6706		
HGNC:10459		
HGNC:1702		
HGNC:41621	NR_039693	100616131
HGNC:41632	NR_039881	100616132
HGNC:41636	NR_039848	100616133
HGNC:7902		
HGNC:41640	NR_039912	100616134
HGNC:41642	NR_039730	100616135
HGNC:41646	NR_039628	100616136
HGNC:9860		
HGNC:3286		
HGNC:4321		
HGNC:3038		
HGNC:7617		
HGNC:41650	NR_039723	100616137
HGNC:41653	NR_039950	100616138
HGNC:3172		
HGNC:43459	NR_049818	100847036
HGNC:41661	NR_039895	100616139
HGNC:41663	NR_039728	100616140
HGNC:41667	NR_039626	100616141
HGNC:7970		22817
HGNC:4885		
HGNC:12951		
HGNC:4972		
HGNC:41677	NR_039920	100616143
HGNC:39065	NG_032224	100873789
HGNC:41681	NR_039765	100616144
HGNC:12439		
HGNC:42472	NG_032585	100873800
HGNC:835		
HGNC:836		
HGNC:41694	NR_039926	100616147
HGNC:10673		
HGNC:10674		
HGNC:41698	NR_039917	100616148
HGNC:1655		
HGNC:9337	NM_005039	5542
HGNC:9339	NM_006249	5544
HGNC:42476	NG_032599	100873819
HGNC:41701	NR_039737	100616149
HGNC:3738		
HGNC:176		
HGNC:2179		
HGNC:4960		
HGNC:17275		
HGNC:6683		
